title,poster_path,original_language
Toy Story,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,en
Jumanji,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,en
Grumpier Old Men,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,en
Waiting to Exhale,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,en
Father of the Bride Part II,/e64sOI48hQXyru7naBFyssKFxVd.jpg,en
Heat,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,en
Sabrina,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,en
Tom and Huck,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,en
Sudden Death,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,en
GoldenEye,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,en
The American President,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,en
Dracula: Dead and Loving It,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,en
Balto,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,en
Nixon,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,en
Cutthroat Island,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,en
Casino,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,en
Sense and Sensibility,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,en
Four Rooms,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,en
Ace Ventura: When Nature Calls,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,en
Money Train,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,en
Get Shorty,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,en
Copycat,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,en
Assassins,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,en
Powder,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,en
Leaving Las Vegas,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,en
Othello,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,en
Now and Then,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,en
Persuasion,/si8911IezMvAnQFDvyg1nKzDlD.jpg,en
Dangerous Minds,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,en
Twelve Monkeys,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,en
Babe,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,en
Carrington,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,en
Dead Man Walking,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,en
Across the Sea of Time,/lKOAyy098yjoot8cutYsStVO1WS.jpg,en
It Takes Two,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,en
Clueless,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,en
"Cry, the Beloved Country",/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,en
Richard III,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,en
